id;topic;question_ru;question_kz;question_en;options_ru;options_kz;options_en
1;ADMET;Как дескриптор Log Kp соотносится с проницаемостью кожи?;Log Kp дескрипторы терінің өткізгіштігімен қалай байланысады?;How does the Log Kp descriptor relate to skin permeation?;"Чем более отрицательное значение, тем ниже проницаемость; Чем выше значение, тем выше токсичность; Он не связан с кожей; Он оценивает растворимость в жирах";"Мән неғұрлым теріс болса, өткізгіштік соғұрлым төмен болады; Мән неғұрлым жоғары болса, уыттылық соғұрлым жоғары; Оның теріге қатысы жоқ; Ол майлардағы ерігіштікті бағалайды";"The more negative the value, the lower the permeation; The higher the value, the higher the toxicity; It is not related to skin; It estimates lipid solubility"
2;ADMET;Какое значение TPSA ограничивает проникновение через ГЭБ?;Қандай TPSA мәні қан-ми тосқауылы арқылы өтуді шектейді?;What TPSA value limits BBB penetration?;"TPSA < 90 Å²; TPSA > 500 Å²; TPSA = 0; TPSA < 10 Å²";"TPSA < 90 Å²; TPSA > 500 Å²; TPSA = 0; TPSA < 10 Å²";"TPSA < 90 Å²; TPSA > 500 Å²; TPSA = 0; TPSA < 10 Å²"
3;ADMET;Какой орган в основном отвечает за метаболизм лекарств (CYP450)?;Дәрілік заттардың метаболизміне (CYP450) негізінен қай мүше жауапты?;Which organ is primarily responsible for drug metabolism (CYP450)?;"Печень; Легкие; Почки; Сердце";"Бауыр; Өкпе; Бүйрек; Жүрек";"Liver; Lungs; Kidneys; Heart"
4;ADMET;Какой параметр в SwissADME предсказывает растворимость (Log S)?;SwissADME-дегі қай параметр ерігіштікті (Log S) болжайды?;Which parameter in SwissADME predicts solubility (Log S)?;"ESOL / Silicos-IT; TPSA; Molecular Weight; Lipinski Rule";"ESOL / Silicos-IT; TPSA; Молекулалық масса; Липинский ережесі";"ESOL / Silicos-IT; TPSA; Molecular Weight; Lipinski Rule"
5;ADMET;Какой параметр отвечает за способность препарата проникать через гематоэнцефалический барьер?;Препараттың гематоэнцефалдық бөгет арқылы өту қабілетіне қай параметр жауапты?;Which parameter is responsible for the drug's ability to cross the blood-brain barrier?;"BBB permeant; Log Kp; Lipinski violation; MLogP";"BBB permeant; Log Kp; Lipinski violation; MLogP";"BBB permeant; Log Kp; Lipinski violation; MLogP"
6;ADMET;"Что означает ""Skin Permeation"" в контексте трансдермальных пластырей?";"Трансдермальді патчтар контекстінде ""Skin Permeation"" нені білдіреді?";"What does ""Skin Permeation"" mean in the context of transdermal patches?";"Способность проникать через кожу; Скорость испарения; Цвет кожи; Прочность пластыря";"Тері арқылы өту қабілеті; Булану жылдамдығы; Терінің түсі; Жабыстырғыштың беріктігі";"Ability to penetrate through the skin; Evaporation rate; Skin color; Patch strength"
7;ADMET;Что означает высокая GI Absorption в результатах SwissADME?;SwissADME нәтижелеріндегі жоғары GI Absorption нені білдіреді?;What does high GI Absorption mean in SwissADME results?;"Высокое всасывание в ЖКТ; Высокая токсичность; Быстрый вывод через почки; Проникновение через мозг";"Асқазан-ішек жолдарында жоғары сіңірілу; Жоғары уыттылық; Бүйрек арқылы тез шығарылу; Миға енуі";"High gastrointestinal absorption; High toxicity; Rapid renal elimination; Brain penetration"
8;ADMET;"Что означает дескриптор ""Lipinski Violations: 0""?";"SwissADME-дегі ""Lipinski Violations: 0"" дескрипторы нені білдіреді?";"What does the descriptor ""Lipinski Violations: 0"" mean?";"Полное соответствие критериям пероральной биодоступности; Вещество полностью токсично; Молекула не имеет веса; Синтез невозможен";"Пероральді биожетімділік критерийлеріне толық сәйкестік; Зат толығымен уытты; Молекуланың салмағы жоқ; Синтез жасау мүмкін емес";"Full compliance with oral bioavailability criteria; The substance is completely toxic; The molecule has no weight; Synthesis is impossible"
9;ADMET;Что означает термин P-gp substrate в отчете ADMET?;ADMET есебіндегі P-gp substrate термині нені білдіреді?;What does the term P-gp substrate mean in an ADMET report?;"Вещество выкачивается из клетки специальным белком; Вещество убивает бактерии; Вещество растворяется в плазме; Вещество не имеет метаболитов";"Зат жасушадан арнайы ақуызбен шығарылады; Зат бактерияларды өлтіреді; Зат плазмада ериді; Заттың метаболиттері жоқ";"The substance is pumped out of the cell by a transporter protein; The substance kills bacteria; The substance dissolves in plasma; The substance has no metabolites"
10;ADMET;Что показывает «Радар биодоступности» (Bioavailability Radar) в SwissADME?;SwissADME-дегі «Биожетімділік радары» (Bioavailability Radar) нені көрсетеді?;What does the Bioavailability Radar in SwissADME display?;"Соответствие препарата 6 физико-химическим параметрам; Точную дозировку; Срок годности; Цвет субстанции";"Препараттың 6 физика-химиялық параметрге сәйкестігі; Нақты дозасы; Сақтау мерзімі; Субстанцияның түсі";"Compliance of the drug with 6 physicochemical parameters; Exact dosage; Shelf life; Substance color"
11;ADMET;Что предсказывает модель BOILED-Egg?;BOILED-Egg моделі нені болжайды?;What does the BOILED-Egg model predict?;"Абсорбцию в ЖКТ и проникновение в мозг; Растворимость в спиртах; Скорость вывода мочи; Температуру плавления";"Асқазан-ішек жолдарындағы абсорбцияны және миға енуді; Спирттердегі ерігіштікті; Зәр шығару жылдамдығын; Балқу температурасын";"GI absorption and Brain penetration; Solubility in alcohols; Renal clearance rate; Melting point"
12;ADMET;Что характеризует дескриптор TPSA в анализе ADMET?;ADMET талдауындағы TPSA дескрипторы нені сипаттайды?;What does the TPSA descriptor characterize in ADMET analysis?;"Полярная поверхность молекулы; Растворимость в воде; Токсичность для печени; Скорость метаболизма";"Молекуланың полярлы бетінің ауданы; Суда ерігіштігі; Бауырға уыттылығы; Метаболизм жылдамдығы";"Topological polar surface area; Water solubility; Liver toxicity; Metabolic rate"
13;ADMET;Что означает параметр CYP2D6 inhibitor в SwissADME?;SwissADME-дегі CYP2D6 inhibitor параметрі нені білдіреді?;What does the CYP2D6 inhibitor parameter mean in SwissADME?;"Вещество может замедлять метаболизм других лекарств; Вещество ускоряет рост клеток; Вещество лечит печень; Вещество не всасывается";"Зат басқа дәрілердің метаболизмін баяулатуы мүмкін; Зат жасушалардың өсуін тездетеді; Зат бауырды емдейді; Зат сіңірілмейді";"The substance may slow down the metabolism of other drugs; The substance accelerates cell growth; The substance treats the liver; The substance is not absorbed"
14;ADMET;Что характеризует параметр «Synthetic Accessibility»?;«Synthetic Accessibility» параметрі нені сипаттайды?;"What does the ""Synthetic Accessibility"" parameter characterize?";"Сложность синтеза молекулы (от 1 до 10); Цену реактивов; Время реакции; Число стадий очистки";"Молекула синтезінің күрделілігі (1-ден 10-ға дейін); Реактивтердің бағасы; Реакция уақыты; Тазарту кезеңдерінің саны";"Complexity of molecular synthesis (from 1 to 10); Price of reagents; Reaction time; Number of purification steps"
15;ADMET;Какой тип всасывания предсказывает зона «желтка» в модели BOILED-Egg?;BOILED-Egg моделіндегі «сарыуыз» аймағы сіңірілудің қандай түрін болжайды?;"What type of absorption does the ""yolk"" zone in the BOILED-Egg model predict?";"Проникновение через гематоэнцефалический барьер (в мозг); Всасывание в кишечнике; Вывод с желчью; Накопление в мышцах";"Гематоэнцефалдық бөгет арқылы ену (миға); Ішекте сіңірілу; Өтпен бірге шығарылу; Бұлшықеттерде жиналу";"Blood-brain barrier penetration; Intestinal absorption; Bile elimination; Muscle accumulation"
17;KZ Drugs;К какой группе химических соединений относится Арглабин?;Арглабин химиялық қосылыстардың қай тобына жатады?;To which group of chemical compounds does Arglabin belong?;"Сесквитерпеновые лактоны; Алкалоиды; Флавоноиды; Стероиды";"Сесквитерпенді лактондар; Алкалоидтар; Флавоноидтар; Стероидтар";"Sesquiterpene lactones; Alkaloids; Flavonoids; Steroids"
18;KZ Drugs;К какому фармакологическому классу относится препарат Рихлокаин?;Рихлокаин препараты қандай фармакологиялық класқа жатады?;What pharmacological class does Richlocaine belong to?;"Местные анестетики; Антибиотики; Противоопухолевые; Витамины";"Жергілікті анестетиктер; Антибиотиктер; Ісікке қарсы; Витаминдер";"Local anesthetics; Antibiotics; Antitumor agents; Vitamins"
19;KZ Drugs;Какое растение является источником сесквитерпенового лактона Арглабина?;Арглабин сесквитерпенді лактонының көзі қандай өсімдік?;Which plant is the source of the sesquiterpene lactone Arglabin?;"Полынь гладкая; Солодка голая; Ромашка аптечная; Шиповник";"Тегіс жусан; Жатық мия; Дәрілік түймедақ; Итмұрын";"Artemisia glabella; Glycyrrhiza glabra; Chamomilla recutita; Rosa canina"
20;KZ Drugs;Какой уникальный фрагмент содержит Рихлокаин в своей структуре?;Рихлокаин құрылымында қандай ерекше фрагмент бар?;What unique fragment does Richlocaine contain in its structure?;"Пиперидиновое кольцо с метильными группами; Нафталиновое ядро; Три кольца бензола; Атом золота";"Метил топтары бар пиперидин сақинасы; Нафталин ядросы; Үш бензол сақинасы; Алтын атомы";"Piperidine ring with methyl groups; Naphthalene core; Three benzene rings; Gold atom"
21;KZ Drugs;Основное действующее вещество препарата Просидол?;Просидол препаратының негізгі әсер етуші заты?;What is the main active substance of Prosidol?;"Промедол (аналог); Аспирин; Парацетамол; Кофеин";"Промедол (аналогы); Аспирин; Парацетамол; Кофеин";"Promedol (analog); Aspirin; Paracetamol; Caffeine"
23;KZ Drugs;Основной фармакологический эффект Пиностробина, выделенного из тополя?;Теректен бөлінген Пиностробиннің негізгі фармакологиялық әсері?;What is the main pharmacological effect of Pinostrobin isolated from poplar?;"Антиоксидантный и противовоспалительный; Галлюциногенный; Снотворный; Мочегонный";"Антиоксидантты және қабынуға қарсы; Галлюциногенді; Ұйықтататын; Зәр айдайтын";"Antioxidant and anti-inflammatory; Hallucinogenic; Sedative; Diuretic"
24;KZ Drugs;Препарат «Цэфедрин» является производным какого природного алкалоида?;«Цэфедрин» препараты қай табиғи алкалоидтың туындысы болып табылады?;"The drug ""Cephedrin"" is a derivative of which natural alkaloid?";"Эфедрин; Морфин; Кокаин; Кофеин";"Эфедрин; Морфин; Кокаин; Кофеин";"Ephedrine; Morphine; Cocaine; Caffeine"
25;KZ Drugs;Какой казахстанский препарат был разработан на основе алкалоидов растения Aconitum?;Aconitum өсімдігінің алкалоидтары негізінде қандай қазақстандық препарат жасалды?;Which Kazakhstani drug was developed based on alkaloids from the Aconitum plant?;"Аллапинин; Арглабин; Казкаин; Просидол";"Аллапинин; Арглабин; Казкаин; Просидол";"Allapinin; Arglabin; Kazcaine; Prosidol"
26;KZ Drugs;К какому типу гетероциклов относится ядро Казкаина и Просидола?;Казкаин мен Просидол ядросы гетероциклдердің қай түріне жатады?;To which type of heterocycles does the core of Kazcaine and Prosidol belong?;"Пиперидины; Пиридины; Фураны; Пирролы";"Пиперидиндер; Пиридиндер; Фурандар; Пирролдар";"Piperidines; Pyridines; Furans; Pyrroles"
